state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
True + BULLISH,190,53.2,0.85,0.373,3.939,1.53,-9.67,21.26,1.83,0.98,False
False + BEARISH,248,55.6,0.564,0.595,3.666,1.09,-9.9,16.04,1.49,0.46,False
ALL (baseline),640,52.7,0.51,0.232,3.7,0.98,-10.54,21.26,1.45,0.62,False
False + BULLISH,165,49.7,0.236,-0.131,3.654,0.46,-10.54,11.85,1.19,0.28,False
False + NEUTRAL,29,,,,,,,,,,True
True + BEARISH,6,,,,,,,,,,True
True + NEUTRAL,2,,,,,,,,,,True
