state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
FIRST_DIP + False,32,68.8,1.023,0.643,3.229,2.25,-5.86,8.67,2.34,0.09,False
CONSOLIDATING + False,44,45.5,0.719,-0.486,4.212,1.21,-5.27,12.4,1.67,1.45,False
RIDING_UPPER + True,41,63.4,0.647,0.559,3.265,1.41,-9.67,8.82,1.76,-0.45,False
ALL (baseline),640,52.7,0.51,0.232,3.7,0.98,-10.54,21.26,1.45,0.62,False
MID_BAND_BROKEN + False,252,54.4,0.469,0.483,3.572,0.93,-9.9,16.04,1.41,0.4,False
RIDING_UPPER + False,242,48.3,0.422,-0.057,3.914,0.77,-10.54,21.26,1.34,0.71,False
CONSOLIDATING + True,6,,,,,,,,,,True
FIRST_DIP + True,5,,,,,,,,,,True
MID_BAND_BROKEN + True,18,,,,,,,,,,True
