state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
below_mid,139,61.9,1.324,1.228,5.12,1.84,-14.52,21.02,2.08,0.48,False
above_upper,225,58.7,1.304,0.648,5.945,1.56,-12.96,37.83,1.9,1.4,False
riding,145,55.9,1.143,0.608,5.093,1.59,-10.47,18.83,1.88,0.95,False
ALL (baseline),640,57.2,1.054,0.658,5.383,1.39,-14.52,37.83,1.74,1.08,False
near_lower,131,51.1,0.24,0.225,4.913,0.35,-12.84,21.44,1.14,0.86,False
