state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
MID_BAND_BROKEN,270,51.9,0.165,0.028,1.736,0.68,-5.65,9.59,1.31,1.16,False
FIRST_DIP,37,48.6,0.158,-0.011,1.445,0.78,-2.87,3.16,1.34,-0.03,False
ALL (baseline),640,51.4,0.066,0.032,1.707,0.27,-7.18,9.59,1.11,0.37,False
RIDING_UPPER,283,52.7,0.027,0.058,1.726,0.11,-7.18,4.96,1.04,-0.35,False
CONSOLIDATING,50,44.0,-0.321,-0.315,1.589,-1.44,-4.11,3.56,0.6,0.22,False
