cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_rsi_filter,cfg_vol_filter,cfg_dd_filter,cfg_streak_filter,cfg_exit_mode,cfg_max_hold,cfg_profit_target,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_stop_loss,cfg_trail_atr,cfg_hold_days,cfg_breadth_mode
30,-40,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract",15,5.0608,73.3,2.91,6.98,11,2.4134,90.9,4.52,6.81,12.3,5.98,-2.77,,,,
30,-40,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract | SL8%",16,4.6198,75.0,2.64,5.98,11,2.4134,90.9,4.52,6.81,11.7,5.76,-2.76,8.0,,,
30,-30,20,not_weak,,,deep,any,bbw_contract,30.0,,"WR(30,-30) | MFI:not_weak | DD:deep | STR:any | bbw_contract | TR3.0ATR",15,3.688,73.3,2.15,3.11,11,7.2297,90.9,4.44,15.53,9.8,7.75,-2.47,,3.0,,
30,-30,20,not_weak,,not_dry,deep,any,bbw_contract,30.0,,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_contract | TR3.0ATR",15,3.688,73.3,2.15,3.11,11,7.2297,90.9,4.44,15.53,9.8,7.75,-2.47,,3.0,,
30,-40,20,not_weak,,,deep,any,bbw_contract,30.0,,"WR(30,-40) | MFI:not_weak | DD:deep | STR:any | bbw_contract | TR3.0ATR",15,3.688,73.3,2.15,3.11,11,7.2297,90.9,4.44,15.53,9.8,7.75,-2.47,,3.0,,
30,-40,20,not_weak,,not_dry,deep,any,bbw_contract,30.0,,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_contract | TR3.0ATR",15,3.688,73.3,2.15,3.11,11,7.2297,90.9,4.44,15.53,9.8,7.75,-2.47,,3.0,,
30,-30,20,accumulating,,,deep,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | DD:deep | bbw_contract | TR2.0ATR",21,4.2537,76.2,2.78,5.32,15,2.408,86.7,4.33,6.65,7.8,5.67,-1.85,,2.0,,
30,-40,20,accumulating,,,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | DD:deep | bbw_contract | TR2.0ATR",21,4.2537,76.2,2.78,5.32,15,2.408,86.7,4.33,6.65,7.8,5.67,-1.85,,2.0,,
30,-30,20,not_weak,,not_dry,moderate,any,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:moderate | STR:any | bbw_pt | PT3%",30,2.9358,90.0,3.25,4.47,21,2.5244,85.7,4.3,6.07,8.6,3.58,-2.3,,,,
30,-40,20,not_weak,,,moderate,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:not_weak | DD:moderate | bbw_pt | PT5%",42,1.9457,78.6,1.95,2.59,28,3.304,89.3,4.26,7.13,10.2,3.83,-2.91,,,,
30,-30,20,not_weak,,,deep,any,bbw_contract,30.0,,"WR(30,-30) | MFI:not_weak | DD:deep | STR:any | bbw_contract",13,5.0757,84.6,2.93,4.82,10,7.4253,90.0,4.23,10.87,12.0,8.65,-3.03,,,,
30,-30,20,not_weak,,not_dry,deep,any,bbw_contract,30.0,,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_contract",13,5.0757,84.6,2.93,4.82,10,7.4253,90.0,4.23,10.87,12.0,8.65,-3.03,,,,
30,-40,20,not_weak,,,deep,any,bbw_contract,30.0,,"WR(30,-40) | MFI:not_weak | DD:deep | STR:any | bbw_contract",13,5.0757,84.6,2.93,4.82,10,7.4253,90.0,4.23,10.87,12.0,8.65,-3.03,,,,
30,-40,20,not_weak,,not_dry,deep,any,bbw_contract,30.0,,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_contract",13,5.0757,84.6,2.93,4.82,10,7.4253,90.0,4.23,10.87,12.0,8.65,-3.03,,,,
30,-40,20,accumulating,,,,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | bbw_pt | PT5%",42,1.5112,78.6,1.51,2.39,28,2.9812,82.1,4.16,7.47,9.6,3.34,-2.62,,,,
30,-30,20,not_weak,,,moderate,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:not_weak | DD:moderate | bbw_pt | PT3%",46,2.035,84.8,1.86,2.67,31,2.8738,87.1,4.14,6.65,8.7,3.5,-2.85,,,,
30,-30,20,not_weak,,,deep,any,bbw_contract,30.0,,"WR(30,-30) | MFI:not_weak | DD:deep | STR:any | bbw_contract | TR2.0ATR",17,4.4951,70.6,2.36,3.79,12,6.3235,83.3,4.14,9.29,7.9,7.92,-1.99,,2.0,,
30,-30,20,not_weak,,not_dry,deep,any,bbw_contract,30.0,,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_contract | TR2.0ATR",17,4.4951,70.6,2.36,3.79,12,6.3235,83.3,4.14,9.29,7.9,7.92,-1.99,,2.0,,
30,-40,20,not_weak,,,deep,any,bbw_contract,30.0,,"WR(30,-40) | MFI:not_weak | DD:deep | STR:any | bbw_contract | TR2.0ATR",17,4.4951,70.6,2.36,3.79,12,6.3235,83.3,4.14,9.29,7.9,7.92,-1.99,,2.0,,
30,-40,20,not_weak,,not_dry,deep,any,bbw_contract,30.0,,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_contract | TR2.0ATR",17,4.4951,70.6,2.36,3.79,12,6.3235,83.3,4.14,9.29,7.9,7.92,-1.99,,2.0,,
30,-30,20,not_weak,,,deep,any,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:not_weak | DD:deep | STR:any | bbw_pt | PT5%",14,3.3052,85.7,2.93,3.68,10,3.5639,90.0,4.13,5.74,8.5,4.66,-2.9,,,,
30,-30,20,not_weak,,not_dry,deep,any,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_pt | PT5%",14,3.3052,85.7,2.93,3.68,10,3.5639,90.0,4.13,5.74,8.5,4.66,-2.9,,,,
30,-40,20,not_weak,,,deep,any,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:not_weak | DD:deep | STR:any | bbw_pt | PT5%",14,3.3052,85.7,2.93,3.68,10,3.5639,90.0,4.13,5.74,8.5,4.66,-2.9,,,,
30,-40,20,not_weak,,not_dry,deep,any,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:deep | STR:any | bbw_pt | PT5%",14,3.3052,85.7,2.93,3.68,10,3.5639,90.0,4.13,5.74,8.5,4.66,-2.9,,,,
30,-30,20,not_weak,,,moderate,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:not_weak | DD:moderate | bbw_pt | PT5%",42,1.9538,81.0,1.99,2.61,29,3.279,86.2,4.11,7.03,10.2,3.83,-2.91,,,,
30,-30,20,not_weak,,not_dry,moderate,any,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:moderate | STR:any | bbw_pt | PT5%",28,3.021,89.3,3.08,4.28,20,2.8725,85.0,4.11,6.49,10.1,4.03,-2.51,,,,
30,-40,20,not_weak,,,moderate,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:not_weak | DD:moderate | bbw_pt | PT3%",45,2.0761,84.4,1.88,2.66,31,2.8202,87.1,4.09,6.54,8.6,3.51,-2.81,,,,
30,-40,20,not_weak,,not_dry,moderate,any,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:moderate | STR:any | bbw_pt | PT3%",29,2.9656,89.7,3.23,4.39,20,2.4057,85.0,4.07,5.6,8.6,3.57,-2.38,,,,
30,-30,20,accumulating,,,,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | bbw_pt | PT5%",43,0.997,72.1,0.97,1.71,30,2.7173,83.3,4.06,7.4,9.9,3.04,-2.86,,,,
30,-30,20,not_weak,,,deep,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:not_weak | DD:deep | bbw_pt | PT3%",25,2.8113,84.0,3.2,4.36,17,3.3214,94.1,4.01,6.74,7.1,3.93,-2.61,,,,
