state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
LATE,161,53.4,0.75,0.398,3.904,1.36,-9.45,21.26,1.73,1.19,False
ALL (baseline),640,52.7,0.51,0.232,3.7,0.98,-10.54,21.26,1.45,0.62,False
NONE,442,52.5,0.381,0.21,3.595,0.75,-10.54,16.04,1.33,0.4,False
DEVELOPING,27,,,,,,,,,,True
FRESH,10,,,,,,,,,,True
