wr_period,wr_thresh,bb_period,bb_std,entry_mode,adx_filter,in_sample_n,in_sample_3d_avg,in_sample_3d_win,in_sample_3d_sharpe,in_sample_3d_pf,in_sample_5d_avg,in_sample_5d_win,in_sample_5d_sharpe,in_sample_5d_pf,in_sample_10d_avg,in_sample_10d_win,in_sample_10d_sharpe,in_sample_10d_pf,in_sample_20d_avg,in_sample_20d_win,in_sample_20d_sharpe,in_sample_20d_pf,out_of_sample_n,out_of_sample_3d_avg,out_of_sample_3d_win,out_of_sample_3d_sharpe,out_of_sample_3d_pf,out_of_sample_5d_avg,out_of_sample_5d_win,out_of_sample_5d_sharpe,out_of_sample_5d_pf,out_of_sample_10d_avg,out_of_sample_10d_win,out_of_sample_10d_sharpe,out_of_sample_10d_pf,out_of_sample_20d_avg,out_of_sample_20d_win,out_of_sample_20d_sharpe,out_of_sample_20d_pf
50,-30,15,2.0,mean_revert,False,103.2,0.4226,54.739999999999995,0.968,1.458,0.67006,54.720000000000006,1.1560000000000001,1.6320000000000001,0.98952,53.379999999999995,1.092,1.798,2.26982,63.339999999999996,2.8880000000000003,9.87,67.4,0.86654,59.98,1.936,4.208,1.13154,62.56,2.294,4.378,1.73522,66.28,2.816,17.066,2.89824,68.8,3.318,20.048
20,-50,20,2.0,early_momentum,False,40.6,-0.08414,48.18,-0.292,0.9359999999999999,0.004720000000000002,45.8,-0.02400000000000001,1.022,0.41612,53.620000000000005,0.664,1.4,1.88762,66.22,2.128,2.222,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,20,1.5,early_momentum,False,40.6,-0.08414,48.18,-0.292,0.9359999999999999,0.004720000000000002,45.8,-0.02400000000000001,1.022,0.41612,53.620000000000005,0.664,1.4,1.88762,66.22,2.128,2.222,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,15,2.0,early_momentum,False,40.6,-0.08414,48.18,-0.292,0.9359999999999999,0.004720000000000002,45.8,-0.02400000000000001,1.022,0.41612,53.620000000000005,0.664,1.4,1.88762,66.22,2.128,2.222,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,25,2.0,early_momentum,False,40.2,-0.08088000000000001,48.660000000000004,-0.278,0.942,0.014400000000000001,46.32,-0.0040000000000000365,1.03,0.3948,53.239999999999995,0.6140000000000001,1.356,1.8162600000000002,66.0,2.042,2.114,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,15,1.5,early_momentum,False,40.6,-0.08414,48.18,-0.292,0.9359999999999999,0.004720000000000002,45.8,-0.02400000000000001,1.022,0.41612,53.620000000000005,0.664,1.4,1.88762,66.22,2.128,2.222,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,20,1.0,early_momentum,False,40.6,-0.08414,48.18,-0.292,0.9359999999999999,0.004720000000000002,45.8,-0.02400000000000001,1.022,0.41612,53.620000000000005,0.664,1.4,1.88762,66.22,2.128,2.222,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,25,1.0,early_momentum,False,40.2,-0.08088000000000001,48.660000000000004,-0.278,0.942,0.014400000000000001,46.32,-0.0040000000000000365,1.03,0.3948,53.239999999999995,0.6140000000000001,1.356,1.8162600000000002,66.0,2.042,2.114,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,15,1.0,early_momentum,False,40.6,-0.08414,48.18,-0.292,0.9359999999999999,0.004720000000000002,45.8,-0.02400000000000001,1.022,0.41612,53.620000000000005,0.664,1.4,1.88762,66.22,2.128,2.222,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
20,-50,25,1.5,early_momentum,False,40.2,-0.08088000000000001,48.660000000000004,-0.278,0.942,0.014400000000000001,46.32,-0.0040000000000000365,1.03,0.3948,53.239999999999995,0.6140000000000001,1.356,1.8162600000000002,66.0,2.042,2.114,26.0,0.78236,60.04,1.9259999999999997,3.2380000000000004,1.25242,61.6,2.3020000000000005,3.116,1.94086,66.94,2.782,4.668,2.82604,64.86,3.592,7.192
50,-30,20,1.5,mean_revert,False,106.4,0.37435999999999997,53.96,0.844,1.3900000000000001,0.58598,53.82000000000001,1.0059999999999998,1.556,0.98604,53.46,1.116,1.832,2.2631,63.44,2.936,10.214,71.0,0.88006,59.4,1.9579999999999997,4.422,1.09172,62.65999999999999,2.198,4.372,1.66248,65.62,2.712,17.21,2.6709,68.3,3.2159999999999997,19.986
50,-30,20,2.0,mean_revert,False,106.4,0.37435999999999997,53.96,0.844,1.3900000000000001,0.58598,53.82000000000001,1.0059999999999998,1.556,0.98604,53.46,1.116,1.832,2.2631,63.44,2.936,10.214,71.0,0.88006,59.4,1.9579999999999997,4.422,1.09172,62.65999999999999,2.198,4.372,1.66248,65.62,2.712,17.21,2.6709,68.3,3.2159999999999997,19.986
50,-30,20,1.0,mean_revert,False,106.4,0.37435999999999997,53.96,0.844,1.3900000000000001,0.58598,53.82000000000001,1.0059999999999998,1.556,0.98604,53.46,1.116,1.832,2.2631,63.44,2.936,10.214,71.0,0.88006,59.4,1.9579999999999997,4.422,1.09172,62.65999999999999,2.198,4.372,1.66248,65.62,2.712,17.21,2.6709,68.3,3.2159999999999997,19.986
14,-30,15,2.0,mean_revert,True,107.2,0.28894000000000003,50.5,0.5820000000000001,1.254,0.47996,51.160000000000004,0.724,1.3359999999999999,0.75012,53.879999999999995,0.992,1.498,1.8680600000000003,60.279999999999994,2.008,2.62,49.6,0.69742,57.44,1.582,1.97,0.97076,60.17999999999999,1.886,2.884,1.6210200000000001,62.2,2.696,7.3340000000000005,3.40312,65.74,3.5739999999999994,8.882000000000001
14,-30,15,1.5,mean_revert,True,107.2,0.28894000000000003,50.5,0.5820000000000001,1.254,0.47996,51.160000000000004,0.724,1.3359999999999999,0.75012,53.879999999999995,0.992,1.498,1.8680600000000003,60.279999999999994,2.008,2.62,49.6,0.69742,57.44,1.582,1.97,0.97076,60.17999999999999,1.886,2.884,1.6210200000000001,62.2,2.696,7.3340000000000005,3.40312,65.74,3.5739999999999994,8.882000000000001
14,-30,15,1.0,mean_revert,True,107.2,0.28894000000000003,50.5,0.5820000000000001,1.254,0.47996,51.160000000000004,0.724,1.3359999999999999,0.75012,53.879999999999995,0.992,1.498,1.8680600000000003,60.279999999999994,2.008,2.62,49.6,0.69742,57.44,1.582,1.97,0.97076,60.17999999999999,1.886,2.884,1.6210200000000001,62.2,2.696,7.3340000000000005,3.40312,65.74,3.5739999999999994,8.882000000000001
14,-50,25,2.0,mean_revert,True,63.4,0.41584000000000004,51.3,0.8320000000000001,1.436,0.75556,54.220000000000006,1.216,1.6580000000000001,0.7827599999999999,51.760000000000005,1.078,1.6019999999999999,1.86504,58.8,1.828,2.626,27.2,0.12445,53.55,0.4775,1.2000000000000002,0.3946,57.9,1.195,1.6349999999999998,0.9282250000000001,62.4,2.6174999999999997,4.4825,2.7622999999999998,70.9,5.244999999999999,117.08749999999999
14,-50,25,1.5,mean_revert,True,63.4,0.41584000000000004,51.3,0.8320000000000001,1.436,0.75556,54.220000000000006,1.216,1.6580000000000001,0.7827599999999999,51.760000000000005,1.078,1.6019999999999999,1.86504,58.8,1.828,2.626,27.2,0.12445,53.55,0.4775,1.2000000000000002,0.3946,57.9,1.195,1.6349999999999998,0.9282250000000001,62.4,2.6174999999999997,4.4825,2.7622999999999998,70.9,5.244999999999999,117.08749999999999
14,-50,25,1.0,mean_revert,True,63.4,0.41584000000000004,51.3,0.8320000000000001,1.436,0.75556,54.220000000000006,1.216,1.6580000000000001,0.7827599999999999,51.760000000000005,1.078,1.6019999999999999,1.86504,58.8,1.828,2.626,27.2,0.12445,53.55,0.4775,1.2000000000000002,0.3946,57.9,1.195,1.6349999999999998,0.9282250000000001,62.4,2.6174999999999997,4.4825,2.7622999999999998,70.9,5.244999999999999,117.08749999999999
30,-50,20,1.5,mean_revert,False,77.6,0.28222,52.02,0.724,1.34,0.37700000000000006,51.18,0.68,1.4,0.72346,50.519999999999996,0.898,1.608,1.92644,58.720000000000006,2.412,5.786,49.2,0.8466400000000001,57.2,1.44,3.376,1.45602,66.5,2.612,1.1019999999999999,1.9685200000000003,66.17999999999999,2.592,14.363999999999999,2.60318,64.7,2.832,9.610000000000001
30,-50,25,1.0,mean_revert,False,77.6,0.28222,52.02,0.724,1.34,0.37700000000000006,51.18,0.68,1.4,0.72346,50.519999999999996,0.898,1.608,1.92644,58.720000000000006,2.412,5.786,49.4,0.8523200000000001,57.32000000000001,1.4600000000000002,3.3880000000000003,1.458,66.6,2.62,1.108,1.9678799999999999,66.3,2.592,14.363999999999999,2.58958,64.52000000000001,2.818,9.598
