state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
NORMAL,358,53.6,0.12,0.134,1.598,0.53,-4.34,6.44,1.22,0.27,False
SQUEEZE,149,47.0,0.115,-0.114,1.703,0.48,-2.88,9.59,1.23,2.01,False
ALL (baseline),640,51.4,0.066,0.032,1.707,0.27,-7.18,9.59,1.11,0.37,False
EXPANDED,133,50.4,-0.136,0.004,1.971,-0.49,-7.18,4.35,0.83,-0.57,False
