period,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient,start,end
Q1,70,44.3,-0.197,-0.732,3.397,-0.41,-9.67,9.17,0.86,0.03,False,2021-10,2022-05
Q2,70,61.4,1.322,1.262,3.786,2.48,-7.77,11.85,2.51,0.3,False,2022-05,2022-12
Q3,70,45.7,0.105,-0.082,3.638,0.21,-10.54,9.42,1.08,-0.05,False,2022-12,2023-08
Q4,73,50.7,0.582,0.318,4.299,0.96,-9.45,21.26,1.49,1.4,False,2023-08,2024-03
