cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_bbw_filter,cfg_adx_filter,cfg_adx_mode,cfg_exit_mode,cfg_max_hold,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_hold_days
14,-30,20,,,20.0,above,sma_break,25.0,"WR(14,-30) SMA20 ADXa20 sma_break",39,1.1371,82.1,1.35,2.32,26,2.2383,84.6,3.24,6.93,9.0,2.58,-2.69,
14,-30,20,,squeeze,20.0,above,sma_break,25.0,"WR(14,-30) SMA20 BBW:squeeze ADXa20 sma_break",16,0.9925,87.5,5.02,13.87,11,1.9678,81.8,3.24,43.38,7.5,1.93,-1.88,
14,-40,20,,,20.0,above,sma_break,25.0,"WR(14,-40) SMA20 ADXa20 sma_break",38,1.1586,81.6,1.35,2.31,26,2.2383,84.6,3.24,6.93,9.1,2.59,-2.72,
14,-40,20,,,20.0,above,bbw_contract,30.0,"WR(14,-40) SMA20 ADXa20 bbw_contract",34,1.1221,73.5,1.15,2.03,23,2.1409,82.6,3.24,6.29,12.8,3.34,-3.22,
14,-40,20,,squeeze,20.0,above,sma_break,25.0,"WR(14,-40) SMA20 BBW:squeeze ADXa20 sma_break",15,1.0372,86.7,4.39,13.61,11,1.9678,81.8,3.24,43.38,7.6,1.93,-1.92,
20,-30,20,,,20.0,above,sma_break,25.0,"WR(20,-30) SMA20 ADXa20 sma_break",39,1.1371,82.1,1.35,2.32,26,2.2383,84.6,3.24,6.93,9.0,2.58,-2.69,
30,-50,10,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed10",25,0.9103,56.0,1.24,1.87,17,4.1372,70.6,3.24,11.42,10.0,4.52,-1.84,10.0
14,-50,10,accumulating,squeeze,25.0,below,fixed,,"WR(14,-50) SMA10 MFI:accumulating BBW:squeeze ADXb25 fixed15",15,0.284,60.0,0.25,1.14,10,3.8181,80.0,3.23,9.42,15.0,5.0,-2.93,15.0
14,-50,20,accumulating,squeeze,25.0,below,fixed,,"WR(14,-50) SMA20 MFI:accumulating BBW:squeeze ADXb25 fixed15",15,0.8798,60.0,0.68,1.43,10,3.8181,80.0,3.23,9.42,15.0,5.04,-2.93,15.0
30,-50,10,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed15",22,2.6752,63.6,1.92,2.78,15,4.9129,86.7,3.23,10.28,15.0,6.21,-2.33,15.0
30,-50,20,not_weak,squeeze,25.0,below,fixed,,"WR(30,-50) SMA20 MFI:not_weak BBW:squeeze ADXb25 fixed10",19,0.5887,63.2,0.68,1.44,14,3.2674,64.3,3.23,5.65,10.0,4.16,-2.27,10.0
30,-50,20,accumulating,,25.0,below,sma_break,25.0,"WR(30,-50) SMA20 MFI:accumulating ADXb25 sma_break",30,0.9893,80.0,1.12,2.02,21,3.0177,81.0,3.23,5.49,7.9,2.97,-2.43,
20,-50,20,not_weak,not_expanded,20.0,above,fixed,,"WR(20,-50) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed15",26,2.004,61.5,1.44,2.34,18,3.4723,88.9,3.22,18.53,15.0,5.22,-2.46,15.0
30,-40,10,,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA10 BBW:not_expanded ADXa20 fixed10",30,1.8281,63.3,2.18,2.98,20,3.4852,65.0,3.22,9.26,10.0,4.48,-2.1,10.0
14,-30,20,accumulating,not_expanded,20.0,above,fixed,,"WR(14,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 fixed15",20,-0.2799,60.0,-0.28,0.86,14,3.1666,85.7,3.21,13.43,15.0,4.64,-3.05,15.0
14,-40,20,accumulating,not_expanded,20.0,above,fixed,,"WR(14,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 fixed15",19,-0.4088,57.9,-0.41,0.81,14,3.1666,85.7,3.21,13.43,15.0,4.68,-3.14,15.0
20,-30,10,,not_expanded,20.0,above,sma_break,25.0,"WR(20,-30) SMA10 BBW:not_expanded ADXa20 sma_break",45,0.8439,75.6,1.33,2.06,31,1.5525,80.6,3.21,10.51,5.9,1.94,-1.96,
20,-30,10,accumulating,not_expanded,,,fixed,,"WR(20,-30) SMA10 MFI:accumulating BBW:not_expanded fixed15",37,2.3571,67.6,1.44,2.44,25,3.1248,76.0,3.21,11.23,15.0,6.02,-2.73,15.0
20,-30,20,accumulating,not_expanded,20.0,above,fixed,,"WR(20,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 fixed15",20,-0.2799,60.0,-0.28,0.86,14,3.1666,85.7,3.21,13.43,15.0,4.64,-3.05,15.0
30,-30,20,accumulating,not_expanded,20.0,above,fixed,,"WR(30,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 fixed15",19,-0.0876,63.2,-0.09,0.96,14,3.1666,85.7,3.21,13.43,15.0,4.7,-3.06,15.0
30,-40,10,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(30,-40) SMA10 MFI:accumulating BBW:not_expanded ADXa20 sma_break",25,1.4348,80.0,1.82,2.67,17,1.7932,76.5,3.21,14.61,5.4,2.36,-2.04,
20,-40,20,accumulating,not_expanded,20.0,above,adaptive,30.0,"WR(20,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 adaptive",26,0.3995,46.2,0.51,1.3,18,1.2281,61.1,3.2,7.75,7.2,2.71,-1.85,
20,-50,10,,squeeze,,,fixed,,"WR(20,-50) SMA10 BBW:squeeze fixed15",23,1.1542,47.8,0.96,1.75,16,4.3706,81.2,3.2,10.64,15.0,5.39,-2.52,15.0
20,-50,10,,not_expanded,20.0,above,sma_break,25.0,"WR(20,-50) SMA10 BBW:not_expanded ADXa20 sma_break",36,1.1714,77.8,1.47,2.36,25,1.9704,80.0,3.2,13.14,6.2,2.39,-2.02,
20,-50,20,,squeeze,,,fixed,,"WR(20,-50) SMA20 BBW:squeeze fixed15",24,1.2681,50.0,1.09,1.83,16,4.3706,81.2,3.2,10.64,15.0,5.04,-2.59,15.0
30,-40,10,accumulating,not_expanded,25.0,below,fixed,,"WR(30,-40) SMA10 MFI:accumulating BBW:not_expanded ADXb25 fixed15",25,2.2725,68.0,1.46,2.17,18,2.725,72.2,3.2,5.43,15.0,6.55,-2.88,15.0
30,-40,20,,,20.0,above,bbw_contract,30.0,"WR(30,-40) SMA20 ADXa20 bbw_contract",31,0.8982,77.4,1.1,1.81,21,3.0471,81.0,3.2,7.88,12.7,3.46,-3.22,
30,-40,20,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed10",27,0.837,55.6,1.12,1.79,19,4.2925,68.4,3.2,11.2,10.0,4.18,-2.16,10.0
30,-50,10,,squeeze,,,fixed,,"WR(30,-50) SMA10 BBW:squeeze fixed10",25,1.7825,56.0,1.74,2.9,17,3.0376,64.7,3.2,5.96,10.0,4.57,-1.79,10.0
14,-40,10,accumulating,not_expanded,25.0,below,fixed,,"WR(14,-40) SMA10 MFI:accumulating BBW:not_expanded ADXb25 fixed20",22,2.1176,59.1,1.14,1.83,15,3.2936,80.0,3.19,4.79,20.0,6.32,-3.37,20.0
14,-40,20,accumulating,,25.0,below,sma_break,25.0,"WR(14,-40) SMA20 MFI:accumulating ADXb25 sma_break",36,0.6981,77.8,0.74,1.58,24,2.7059,83.3,3.19,5.61,7.7,2.73,-2.42,
20,-30,10,accumulating,not_expanded,20.0,above,fixed,,"WR(20,-30) SMA10 MFI:accumulating BBW:not_expanded ADXa20 fixed20",22,1.5956,59.1,1.41,2.08,15,3.0433,73.3,3.19,4.93,20.0,5.66,-3.53,20.0
14,-30,20,accumulating,not_expanded,20.0,above,adaptive,30.0,"WR(14,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 adaptive",27,0.5179,48.1,0.66,1.4,18,1.2038,61.1,3.18,7.62,7.2,2.72,-1.8,
14,-40,20,accumulating,not_expanded,20.0,above,adaptive,30.0,"WR(14,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 adaptive",27,0.5179,48.1,0.66,1.4,18,1.2038,61.1,3.18,7.62,7.2,2.72,-1.8,
14,-50,20,accumulating,not_expanded,20.0,above,adaptive,30.0,"WR(14,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 adaptive",25,0.4768,52.0,0.59,1.36,18,1.2038,61.1,3.18,7.62,7.1,2.76,-1.85,
20,-30,20,accumulating,not_expanded,20.0,above,adaptive,30.0,"WR(20,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 adaptive",27,0.5179,48.1,0.66,1.4,18,1.2038,61.1,3.18,7.62,7.2,2.72,-1.8,
20,-50,10,accumulating,squeeze,,,fixed,,"WR(20,-50) SMA10 MFI:accumulating BBW:squeeze fixed15",18,1.7715,66.7,1.23,2.03,12,3.4303,75.0,3.18,15.02,15.0,5.35,-2.46,15.0
20,-50,20,accumulating,not_expanded,20.0,above,fixed,,"WR(20,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 fixed15",19,0.3271,63.2,0.33,1.18,13,3.2559,84.6,3.18,12.87,15.0,5.0,-2.9,15.0
30,-40,20,accumulating,,25.0,below,bbw_contract,30.0,"WR(30,-40) SMA20 MFI:accumulating ADXb25 bbw_contract",31,2.9385,80.6,1.92,3.55,22,2.4668,81.8,3.18,5.5,12.5,5.06,-2.66,
30,-50,20,accumulating,,25.0,below,bbw_contract,30.0,"WR(30,-50) SMA20 MFI:accumulating ADXb25 bbw_contract",27,2.9537,77.8,1.9,3.48,18,2.3084,77.8,3.18,4.49,12.7,5.06,-2.77,
14,-50,20,accumulating,,25.0,below,sma_break,25.0,"WR(14,-50) SMA20 MFI:accumulating ADXb25 sma_break",35,0.7155,82.9,0.75,1.59,24,2.7437,87.5,3.17,6.15,7.5,2.76,-2.33,
20,-40,20,,,20.0,above,fixed,,"WR(20,-40) SMA20 ADXa20 fixed20",32,1.318,62.5,1.19,1.82,22,3.9984,72.7,3.17,5.91,20.0,5.72,-3.37,20.0
20,-40,20,accumulating,not_expanded,,,fixed,,"WR(20,-40) SMA20 MFI:accumulating BBW:not_expanded fixed15",33,2.0943,66.7,1.24,2.14,23,2.9306,78.3,3.17,7.43,15.0,5.48,-2.76,15.0
30,-30,20,accumulating,,,,bbw_contract,30.0,"WR(30,-30) SMA20 MFI:accumulating bbw_contract",41,1.5486,70.7,1.03,1.99,28,2.5347,85.7,3.17,6.97,12.2,3.78,-3.07,
30,-40,20,accumulating,,,,sma_break,25.0,"WR(30,-40) SMA20 MFI:accumulating sma_break",45,1.179,80.0,1.36,2.31,30,2.3652,83.3,3.17,5.86,7.9,2.71,-2.43,
30,-50,10,accumulating,squeeze,,,sma_break,25.0,"WR(30,-50) SMA10 MFI:accumulating BBW:squeeze sma_break",20,1.3374,70.0,1.66,2.77,14,2.7611,78.6,3.17,14.96,5.0,2.64,-1.38,
14,-30,20,accumulating,squeeze,25.0,below,fixed,,"WR(14,-30) SMA20 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,0.1531,56.2,0.14,1.07,11,3.6336,72.7,3.16,8.87,15.0,4.49,-2.83,15.0
14,-40,20,accumulating,squeeze,25.0,below,fixed,,"WR(14,-40) SMA20 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,0.6502,56.2,0.52,1.31,11,3.6336,72.7,3.16,8.87,15.0,4.78,-2.81,15.0
20,-30,20,accumulating,squeeze,25.0,below,fixed,,"WR(20,-30) SMA20 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,0.1531,56.2,0.14,1.07,11,3.6336,72.7,3.16,8.87,15.0,4.49,-2.83,15.0
20,-40,20,accumulating,squeeze,25.0,below,fixed,,"WR(20,-40) SMA20 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,0.1531,56.2,0.14,1.07,11,3.6336,72.7,3.16,8.87,15.0,4.49,-2.83,15.0
30,-30,10,,squeeze,20.0,above,fixed,,"WR(30,-30) SMA10 BBW:squeeze ADXa20 fixed10",16,1.7014,56.2,1.57,2.57,12,2.9339,83.3,3.16,7.66,10.0,4.28,-1.42,10.0
30,-30,20,accumulating,squeeze,25.0,below,fixed,,"WR(30,-30) SMA20 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,0.2729,56.2,0.24,1.13,11,3.6336,72.7,3.16,8.87,15.0,4.54,-2.78,15.0
30,-40,20,,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA20 BBW:not_expanded ADXa20 fixed15",25,1.6554,64.0,1.41,2.16,17,6.0334,88.2,3.16,13.92,15.0,6.12,-2.38,15.0
30,-40,20,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed15",24,1.6495,62.5,1.38,2.11,17,6.0334,88.2,3.16,13.92,15.0,6.08,-2.42,15.0
20,-30,10,,not_expanded,20.0,above,fixed,,"WR(20,-30) SMA10 BBW:not_expanded ADXa20 fixed20",28,1.2478,64.3,0.98,1.64,19,3.3285,73.7,3.15,5.17,20.0,5.29,-3.39,20.0
20,-30,10,not_weak,not_expanded,20.0,above,fixed,,"WR(20,-30) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed20",27,1.4746,66.7,1.15,1.77,19,3.3285,73.7,3.15,5.17,20.0,5.26,-3.45,20.0
20,-50,10,not_weak,not_expanded,20.0,above,sma_break,25.0,"WR(20,-50) SMA10 MFI:not_weak BBW:not_expanded ADXa20 sma_break",34,1.0191,76.5,1.27,2.12,23,1.6213,78.3,3.15,10.19,6.3,2.24,-2.13,
20,-50,10,accumulating,not_expanded,20.0,above,fixed,,"WR(20,-50) SMA10 MFI:accumulating BBW:not_expanded ADXa20 fixed15",18,-0.0076,61.1,-0.01,1.0,12,3.3466,83.3,3.15,12.26,15.0,5.1,-2.97,15.0
30,-30,10,,not_expanded,20.0,above,sma_break,25.0,"WR(30,-30) SMA10 BBW:not_expanded ADXa20 sma_break",41,0.9344,78.0,1.42,2.15,28,1.8542,82.1,3.15,11.91,6.0,2.14,-1.97,
30,-30,20,,squeeze,25.0,below,fixed,,"WR(30,-30) SMA20 BBW:squeeze ADXb25 fixed15",20,-0.0196,45.0,-0.02,0.99,14,4.0986,71.4,3.15,11.09,15.0,4.58,-2.62,15.0
30,-40,10,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed10",27,1.3681,55.6,1.62,2.31,18,3.5173,66.7,3.15,8.91,10.0,4.24,-2.18,10.0
30,-40,10,accumulating,not_expanded,,,bbw_contract,30.0,"WR(30,-40) SMA10 MFI:accumulating BBW:not_expanded bbw_contract",37,2.3374,75.7,1.52,2.69,26,3.1085,80.8,3.15,7.76,12.2,4.71,-2.64,
30,-50,20,accumulating,not_expanded,25.0,below,fixed,,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXb25 fixed15",21,2.0319,57.1,1.14,1.94,15,2.2279,80.0,3.15,4.41,15.0,5.72,-2.87,15.0
20,-30,10,accumulating,not_expanded,,,fixed,,"WR(20,-30) SMA10 MFI:accumulating BBW:not_expanded fixed20",31,3.0207,71.0,1.67,2.47,22,3.1672,72.7,3.14,5.12,20.0,6.46,-3.22,20.0
30,-30,10,not_weak,not_expanded,20.0,above,sma_break,25.0,"WR(30,-30) SMA10 MFI:not_weak BBW:not_expanded ADXa20 sma_break",39,0.8051,76.9,1.22,1.94,26,1.5364,80.8,3.14,9.39,6.2,1.98,-2.08,
30,-30,20,,,20.0,above,fixed,,"WR(30,-30) SMA20 ADXa20 fixed20",32,1.9833,62.5,1.63,2.37,22,3.4863,72.7,3.14,5.28,20.0,5.78,-3.29,20.0
30,-50,10,,,20.0,above,bbw_contract,30.0,"WR(30,-50) SMA10 ADXa20 bbw_contract",34,1.3917,67.6,1.39,2.21,24,2.9059,87.5,3.14,7.38,11.0,3.97,-2.65,
14,-40,10,accumulating,squeeze,,,fixed,,"WR(14,-40) SMA10 MFI:accumulating BBW:squeeze fixed15",20,0.1907,60.0,0.19,1.11,14,3.2819,71.4,3.13,11.13,15.0,4.42,-2.48,15.0
30,-30,10,,squeeze,20.0,above,fixed,,"WR(30,-30) SMA10 BBW:squeeze ADXa20 fixed20",13,1.9514,61.5,2.54,4.06,10,3.2055,70.0,3.13,6.46,20.0,5.53,-2.49,20.0
30,-40,10,,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA10 BBW:not_expanded ADXa20 fixed15",24,1.8862,62.5,1.46,2.25,17,5.6276,88.2,3.13,13.05,15.0,6.23,-2.59,15.0
30,-50,20,,squeeze,,,fixed,,"WR(30,-50) SMA20 BBW:squeeze fixed10",25,0.8688,56.0,1.18,1.9,18,2.9108,66.7,3.13,6.04,10.0,4.23,-1.93,10.0
30,-50,20,accumulating,,,,bbw_contract,30.0,"WR(30,-50) SMA20 MFI:accumulating bbw_contract",34,2.2022,73.5,1.41,2.65,24,2.6964,83.3,3.13,6.44,12.1,4.29,-2.92,
14,-50,20,accumulating,,25.0,below,bbw_contract,30.0,"WR(14,-50) SMA20 MFI:accumulating ADXb25 bbw_contract",31,2.5223,80.6,1.6,2.76,21,2.0045,85.7,3.12,4.79,12.4,4.56,-2.73,
20,-40,10,not_weak,squeeze,20.0,above,bbw_contract,30.0,"WR(20,-40) SMA10 MFI:not_weak BBW:squeeze ADXa20 bbw_contract",15,3.1359,80.0,2.07,11.28,11,0.8813,81.8,3.12,3.79,10.7,3.43,-1.97,
20,-40,10,accumulating,not_expanded,20.0,above,fixed,,"WR(20,-40) SMA10 MFI:accumulating BBW:not_expanded ADXa20 fixed15",18,-0.7447,55.6,-0.74,0.67,13,3.8563,76.9,3.12,11.76,15.0,4.55,-3.44,15.0
14,-40,10,accumulating,not_expanded,25.0,below,mfi_exit,25.0,"WR(14,-40) SMA10 MFI:accumulating BBW:not_expanded ADXb25 mfi_exit",25,1.8348,60.0,1.06,1.8,17,3.5341,70.6,3.11,6.23,17.6,6.1,-2.94,
14,-40,20,not_weak,squeeze,,,fixed,,"WR(14,-40) SMA20 MFI:not_weak BBW:squeeze fixed15",24,1.0198,54.2,0.91,1.67,16,3.0406,81.2,3.11,11.66,15.0,4.42,-2.91,15.0
14,-50,10,,squeeze,25.0,below,fixed,,"WR(14,-50) SMA10 BBW:squeeze ADXb25 fixed15",19,0.3328,52.6,0.32,1.18,13,3.5705,76.9,3.11,5.87,15.0,4.8,-2.73,15.0
20,-30,10,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(20,-30) SMA10 MFI:accumulating BBW:not_expanded ADXa20 sma_break",30,0.9481,70.0,1.2,1.87,21,1.5929,76.2,3.11,15.32,5.7,2.15,-2.21,
30,-50,10,accumulating,not_expanded,25.0,below,sma_break,25.0,"WR(30,-50) SMA10 MFI:accumulating BBW:not_expanded ADXb25 sma_break",31,1.3699,74.2,1.96,3.12,21,2.2912,81.0,3.11,15.15,5.2,2.4,-1.78,
30,-50,20,accumulating,,,,sma_break,25.0,"WR(30,-50) SMA20 MFI:accumulating sma_break",39,1.1228,79.5,1.18,2.09,27,2.6196,81.5,3.11,5.73,8.3,2.86,-2.55,
30,-30,10,not_weak,squeeze,20.0,above,fixed,,"WR(30,-30) SMA10 MFI:not_weak BBW:squeeze ADXa20 fixed15",13,2.4727,61.5,2.16,5.31,10,4.1252,100.0,3.1,0.0,15.0,5.04,-2.03,15.0
30,-50,20,accumulating,squeeze,25.0,below,sma_break,25.0,"WR(30,-50) SMA20 MFI:accumulating BBW:squeeze ADXb25 sma_break",15,-0.2912,66.7,-0.32,0.79,10,3.5899,90.0,3.1,5.4,8.7,2.89,-2.64,
30,-50,20,accumulating,not_expanded,,,fixed,,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded fixed10",34,1.2008,58.8,0.94,1.65,23,2.499,65.2,3.1,5.6,10.0,4.41,-2.34,10.0
14,-30,10,,,,,fixed,,"WR(14,-30) SMA10 fixed15",63,1.7287,61.9,1.26,1.97,42,3.3731,78.6,3.09,6.82,15.0,5.45,-2.9,15.0
14,-30,10,not_weak,,,,fixed,,"WR(14,-30) SMA10 MFI:not_weak fixed15",61,1.7189,59.0,1.1,1.92,42,3.366,78.6,3.09,6.81,15.0,5.53,-2.91,15.0
14,-30,20,accumulating,,25.0,below,sma_break,25.0,"WR(14,-30) SMA20 MFI:accumulating ADXb25 sma_break",36,0.7991,77.8,0.84,1.67,25,2.5011,84.0,3.09,5.43,7.7,2.7,-2.45,
20,-30,20,accumulating,,25.0,below,sma_break,25.0,"WR(20,-30) SMA20 MFI:accumulating ADXb25 sma_break",36,0.7991,77.8,0.84,1.67,25,2.5011,84.0,3.09,5.43,7.7,2.7,-2.45,
20,-50,10,not_weak,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-50) SMA10 MFI:not_weak BBW:not_expanded ADXa20 bbw_contract",28,1.505,67.9,1.0,2.16,20,2.3802,90.0,3.09,10.58,11.6,3.6,-2.71,
30,-30,10,,not_expanded,20.0,above,fixed,,"WR(30,-30) SMA10 BBW:not_expanded ADXa20 fixed10",36,1.5997,61.1,1.82,2.48,25,3.0653,76.0,3.09,11.17,10.0,4.27,-1.93,10.0
30,-30,10,not_weak,squeeze,20.0,above,sma_break,25.0,"WR(30,-30) SMA10 MFI:not_weak BBW:squeeze ADXa20 sma_break",16,1.627,87.5,3.6,8.19,12,0.9121,75.0,3.09,3.91,5.7,1.82,-1.34,
30,-30,20,accumulating,,25.0,below,sma_break,25.0,"WR(30,-30) SMA20 MFI:accumulating ADXb25 sma_break",36,0.8343,77.8,0.87,1.7,25,2.5011,84.0,3.09,5.43,7.7,2.72,-2.43,
14,-30,20,accumulating,not_expanded,20.0,above,mfi_exit,25.0,"WR(14,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 mfi_exit",21,2.0881,66.7,1.62,2.14,14,2.4332,57.1,3.08,5.93,19.3,5.77,-2.97,
14,-40,20,accumulating,not_expanded,20.0,above,mfi_exit,25.0,"WR(14,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 mfi_exit",21,2.0881,66.7,1.62,2.14,14,2.4332,57.1,3.08,5.93,19.3,5.77,-2.97,
14,-50,20,accumulating,not_expanded,20.0,above,mfi_exit,25.0,"WR(14,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 mfi_exit",20,1.9946,65.0,1.55,2.11,14,2.4332,57.1,3.08,5.93,19.2,5.63,-3.04,
20,-30,20,accumulating,not_expanded,20.0,above,mfi_exit,25.0,"WR(20,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 mfi_exit",21,2.0881,66.7,1.62,2.14,14,2.4332,57.1,3.08,5.93,19.3,5.77,-2.97,
20,-40,10,,not_expanded,20.0,above,sma_break,25.0,"WR(20,-40) SMA10 BBW:not_expanded ADXa20 sma_break",40,1.113,77.5,1.45,2.29,28,1.8243,78.6,3.08,11.1,6.1,2.27,-1.94,
20,-50,20,accumulating,not_expanded,,,fixed,,"WR(20,-50) SMA20 MFI:accumulating BBW:not_expanded fixed10",37,0.6426,59.5,0.53,1.35,26,2.7168,65.4,3.08,6.15,10.0,3.93,-2.6,10.0
30,-30,10,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(30,-30) SMA10 MFI:accumulating BBW:not_expanded ADXa20 sma_break",28,1.1845,75.0,1.47,2.15,19,1.6526,73.7,3.08,14.44,5.7,2.28,-2.24,
30,-30,20,accumulating,not_expanded,20.0,above,mfi_exit,25.0,"WR(30,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 mfi_exit",20,1.7634,65.0,1.38,1.92,14,2.4332,57.1,3.08,5.93,19.2,5.7,-2.88,
30,-40,10,,not_expanded,20.0,above,fixed,,"WR(30,-40) SMA10 BBW:not_expanded ADXa20 fixed20",22,0.8376,50.0,0.68,1.43,16,8.4918,81.2,3.08,27.77,20.0,7.03,-3.14,20.0
14,-30,10,accumulating,squeeze,25.0,below,fixed,,"WR(14,-30) SMA10 MFI:accumulating BBW:squeeze ADXb25 fixed20",16,1.1295,50.0,0.61,1.41,11,3.5837,81.8,3.07,4.62,20.0,6.42,-3.39,20.0
14,-50,10,accumulating,not_expanded,25.0,below,adaptive,30.0,"WR(14,-50) SMA10 MFI:accumulating BBW:not_expanded ADXb25 adaptive",34,0.9587,61.8,1.68,2.42,23,2.0455,69.6,3.07,4.37,7.4,3.22,-1.68,
20,-30,10,not_weak,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-30) SMA10 MFI:not_weak BBW:not_expanded ADXa20 bbw_contract",36,1.4135,63.9,1.12,2.27,24,1.8095,87.5,3.07,9.24,11.3,3.15,-2.64,
20,-30,10,accumulating,squeeze,25.0,below,fixed,,"WR(20,-30) SMA10 MFI:accumulating BBW:squeeze ADXb25 fixed20",16,1.1295,50.0,0.61,1.41,11,3.5837,81.8,3.07,4.62,20.0,6.42,-3.39,20.0
20,-40,20,accumulating,,25.0,below,sma_break,25.0,"WR(20,-40) SMA20 MFI:accumulating ADXb25 sma_break",36,0.7991,77.8,0.84,1.67,24,2.5362,83.3,3.07,5.32,7.8,2.72,-2.49,
20,-50,20,accumulating,,25.0,below,sma_break,25.0,"WR(20,-50) SMA20 MFI:accumulating ADXb25 sma_break",34,0.8123,79.4,0.83,1.65,24,2.5362,83.3,3.07,5.32,7.8,2.78,-2.53,
14,-30,10,accumulating,squeeze,,,fixed,,"WR(14,-30) SMA10 MFI:accumulating BBW:squeeze fixed15",21,1.8486,66.7,1.41,2.33,15,3.1272,73.3,3.06,11.34,15.0,5.11,-2.16,15.0
14,-30,20,accumulating,,,,sma_break,25.0,"WR(14,-30) SMA20 MFI:accumulating sma_break",46,0.5221,73.9,0.56,1.4,32,2.2321,84.4,3.06,5.78,8.2,2.45,-2.68,
20,-30,10,accumulating,squeeze,,,fixed,,"WR(20,-30) SMA10 MFI:accumulating BBW:squeeze fixed15",21,1.9804,71.4,1.52,2.53,15,3.1272,73.3,3.06,11.34,15.0,5.13,-2.13,15.0
20,-30,20,accumulating,,,,sma_break,25.0,"WR(20,-30) SMA20 MFI:accumulating sma_break",46,0.5221,73.9,0.56,1.4,32,2.2321,84.4,3.06,5.78,8.2,2.45,-2.68,
30,-30,10,accumulating,not_expanded,20.0,above,fixed,,"WR(30,-30) SMA10 MFI:accumulating BBW:not_expanded ADXa20 fixed20",20,1.7208,55.0,1.38,2.06,14,2.904,71.4,3.06,5.01,20.0,5.85,-3.51,20.0
30,-30,20,accumulating,,,,sma_break,25.0,"WR(30,-30) SMA20 MFI:accumulating sma_break",46,0.6098,73.9,0.65,1.47,32,2.2321,84.4,3.06,5.78,8.2,2.5,-2.65,
30,-50,20,not_weak,squeeze,,,fixed,,"WR(30,-50) SMA20 MFI:not_weak BBW:squeeze fixed10",24,0.3867,58.3,0.48,1.31,17,2.9149,64.7,3.06,5.76,10.0,3.73,-2.2,10.0
30,-50,20,accumulating,not_expanded,20.0,above,mfi_exit,25.0,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 mfi_exit",16,2.8016,75.0,2.1,2.6,12,1.8576,58.3,3.06,4.07,19.4,6.15,-2.64,
14,-40,10,accumulating,not_expanded,20.0,above,fixed,,"WR(14,-40) SMA10 MFI:accumulating BBW:not_expanded ADXa20 fixed20",22,1.7084,59.1,1.46,2.16,15,2.5361,73.3,3.05,4.28,20.0,5.52,-3.55,20.0
14,-50,20,accumulating,,20.0,above,sma_break,25.0,"WR(14,-50) SMA20 MFI:accumulating ADXa20 sma_break",25,1.0158,72.0,0.99,1.79,17,1.9361,82.4,3.05,6.4,9.7,2.6,-3.24,
