cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_bbw_filter,cfg_adx_filter,cfg_adx_mode,cfg_exit_mode,cfg_max_hold,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_hold_days
20,-50,10,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-50) SMA10 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",19,1.4463,68.4,0.91,2.06,14,1.9128,85.7,5.23,33.58,11.1,3.6,-2.84,
30,-50,20,accumulating,not_expanded,25.0,below,sma_break,25.0,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXb25 sma_break",26,0.0002,73.1,0.0,1.0,18,3.9013,88.9,5.16,52.36,7.8,2.82,-2.44,
14,-30,20,,squeeze,20.0,above,bbw_contract,30.0,"WR(14,-30) SMA20 BBW:squeeze ADXa20 bbw_contract",15,0.8225,80.0,3.34,4.9,10,1.8284,100.0,5.04,0.0,11.5,2.61,-2.34,
14,-40,20,,squeeze,20.0,above,bbw_contract,30.0,"WR(14,-40) SMA20 BBW:squeeze ADXa20 bbw_contract",14,0.857,78.6,3.02,4.79,10,1.8284,100.0,5.04,0.0,11.7,2.63,-2.4,
14,-50,20,,squeeze,20.0,above,bbw_contract,30.0,"WR(14,-50) SMA20 BBW:squeeze ADXa20 bbw_contract",14,0.946,78.6,2.86,5.18,10,1.8284,100.0,5.04,0.0,11.6,2.69,-2.35,
14,-30,20,not_weak,squeeze,20.0,above,bbw_contract,30.0,"WR(14,-30) SMA20 MFI:not_weak BBW:squeeze ADXa20 bbw_contract",14,1.0312,85.7,3.67,5.77,10,1.1173,90.0,4.99,80.13,10.5,2.05,-2.38,
14,-40,20,not_weak,squeeze,20.0,above,bbw_contract,30.0,"WR(14,-40) SMA20 MFI:not_weak BBW:squeeze ADXa20 bbw_contract",13,1.0845,84.6,3.41,5.66,10,1.1173,90.0,4.99,80.13,10.7,2.05,-2.44,
30,-50,20,not_weak,not_expanded,20.0,above,sma_break,25.0,"WR(30,-50) SMA20 MFI:not_weak BBW:not_expanded ADXa20 sma_break",25,1.0498,80.0,1.05,1.96,18,2.3893,88.9,4.97,10.91,9.0,2.73,-2.49,
30,-50,20,accumulating,not_expanded,25.0,below,fixed,,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXb25 fixed10",25,1.4756,52.0,1.11,1.81,17,3.5921,88.2,4.91,18.74,10.0,4.99,-2.23,10.0
30,-50,20,,not_expanded,20.0,above,sma_break,25.0,"WR(30,-50) SMA20 BBW:not_expanded ADXa20 sma_break",27,1.0767,81.5,1.11,2.06,18,2.9662,88.9,4.84,13.31,8.8,2.91,-2.38,
