state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
NORMAL,358,53.6,0.677,0.337,3.88,1.24,-9.9,16.04,1.6,0.55,False
ALL (baseline),640,52.7,0.51,0.232,3.7,0.98,-10.54,21.26,1.45,0.62,False
EXPANDED,133,54.1,0.391,0.497,4.021,0.69,-10.54,21.26,1.3,0.81,False
SQUEEZE,149,49.0,0.212,-0.188,2.863,0.53,-9.09,7.29,1.21,0.26,False
