state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
WEAK,50,58.0,0.533,0.198,1.881,2.01,-2.58,6.44,2.27,1.06,False
STRONG,84,57.1,0.303,0.438,1.893,1.14,-5.17,4.63,1.51,-0.3,False
ALL (baseline),640,51.4,0.066,0.032,1.707,0.27,-7.18,9.59,1.11,0.37,False
NEUTRAL,171,49.1,0.027,-0.023,1.773,0.11,-5.65,9.59,1.04,0.9,False
FALLING,173,49.1,0.001,-0.036,1.577,0.0,-4.34,7.57,1.0,0.6,False
RISING,162,51.2,-0.091,0.047,1.591,-0.41,-7.18,4.71,0.85,-0.57,False
