state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
STRONG,84,71.4,3.065,2.947,6.343,3.43,-11.4,37.83,4.18,1.83,False
NEUTRAL,171,57.3,1.361,0.577,5.675,1.7,-10.99,26.41,2.02,1.01,False
ALL (baseline),640,57.2,1.054,0.658,5.383,1.39,-14.52,37.83,1.74,1.08,False
RISING,162,50.6,0.601,0.103,4.823,0.88,-10.74,14.29,1.4,0.54,False
FALLING,173,59.5,0.432,0.812,4.856,0.63,-14.52,21.44,1.28,0.53,False
WEAK,50,46.0,0.247,-0.288,5.373,0.33,-10.66,21.02,1.14,1.16,False
