fold,entry_mode,sma_period,wr_period,exit_mode,trail_atr,max_hold,wr_dip_level,profit_target
1,pullback_in_trend,20,20,trail_sma,2.0,30,-60,
2,pullback_in_trend,20,20,trail_sma,2.0,50,-60,10.0
