state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
STRONG,84,65.5,1.651,1.326,3.872,3.03,-7.77,21.26,3.55,1.52,False
ALL (baseline),640,52.7,0.51,0.232,3.7,0.98,-10.54,21.26,1.45,0.62,False
NEUTRAL,171,53.2,0.439,0.104,3.508,0.89,-8.4,12.4,1.41,0.57,False
FALLING,173,53.8,0.342,0.497,3.869,0.63,-9.9,16.04,1.27,0.35,False
RISING,162,45.7,0.292,-0.201,3.659,0.57,-10.54,12.98,1.24,0.5,False
WEAK,50,48.0,0.119,-0.484,3.345,0.25,-7.72,8.2,1.1,0.47,False
