entry_bar,bars_held,pnl_pct,peak_pnl,exit_reason,entry_date,symbol,fold
615,6,-1.8524,0.3513,SMA_BREAK,2025-06-26,FINIETF,2
559,7,1.5837,6.3672,TRAIL,2023-06-30,ITBEES,2
572,36,3.839,8.5759,TRAIL,2023-08-07,ITBEES,2
530,4,-3.1626,0.0,SMA_BREAK,2023-09-15,PHARMABEES,2
564,23,4.3786,6.6323,SMA_BREAK,2023-11-07,PHARMABEES,2
505,29,3.1893,5.0599,SMA_BREAK,2023-04-10,INFRABEES,2
592,19,1.8055,3.2122,SMA_BREAK,2023-09-05,INFRABEES,2
616,7,-1.0291,0.8251,SMA_BREAK,2023-10-11,INFRABEES,2
507,32,4.7068,6.136,SMA_BREAK,2023-04-10,CPSEETF,2
551,33,10.5934,10.5934,PT,2023-06-13,CPSEETF,2
504,27,5.0091,9.1242,SMA_BREAK,2024-02-02,AUTOIETF,2
541,35,10.9224,10.9224,PT,2024-03-28,AUTOIETF,2
508,33,10.1664,10.1664,PT,2023-04-11,MOM100,2
507,50,9.1819,9.3018,MAX,2023-04-10,LOWVOLIETF,2
508,37,10.3758,10.3758,PT,2023-04-11,MIDCAPIETF,2
607,13,-2.2873,0.1204,SMA_BREAK,2023-09-01,MON100,2
576,10,-3.4158,0.0,TRAIL,2023-09-06,MAFANG,2
600,5,-3.783,0.0,SMA_BREAK,2023-10-12,MAFANG,2
553,6,-4.3016,0.0809,TRAIL,2023-06-15,HNGSNGBEES,2
574,5,-1.3312,0.3149,SMA_BREAK,2023-07-17,HNGSNGBEES,2
504,31,3.2578,4.712,SMA_BREAK,2023-04-06,MOM50,2
594,14,-0.6307,2.3526,SMA_BREAK,2023-09-07,MOM50,2
